ID,Typology,power_l1,power_l2,power_l3,power_l4,power_l5,power_l6,power_l7,power_l8,power_l9,power_l10,power_l11,power_l12,power_l13,power_l14,power_l15,power_l16,power_l17,power_l18,power_l19,power_l20
EXP01_Levallois preferential,Levallois,0.38305422,0.38729622,0.17500803,0.0321164,0.02002461,0.00195977,0.00047546,4.642e-05,1.164e-05,2.36e-06,3.12e-06,8e-07,6.1e-07,2.2e-07,6e-08,4e-08,1e-08,0.0,2e-08,0.0
EXP02_Cylindrical bidirectional,Bidirectional,0.24265047,0.4115962,0.13570005,0.18655936,0.0157072,0.00683375,0.00074066,0.00018928,1.334e-05,6e-06,1.87e-06,1.04e-06,4.6e-07,2.1e-07,7e-08,2e-08,0.0,0.0,0.0,1e-08
EXP03_Conical unidirectional,Unidirectional,0.49026562,0.33054949,0.1286726,0.03739264,0.01011217,0.00247198,0.00046727,6.236e-05,5.49e-06,3.3e-07,3e-08,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXP04_Levallois preferential,Levallois,0.47564768,0.25951265,0.20066222,0.04952273,0.01206127,0.0018434,0.00064682,8.028e-05,1.301e-05,3.16e-06,3.74e-06,9e-07,1.45e-06,1.6e-07,4.1e-07,1e-08,8e-08,1e-08,2e-08,1e-08
EXP05_Levallois preferential,Levallois,0.41502875,0.27845137,0.14510416,0.12670816,0.03155797,0.00258627,0.00042199,9.179e-05,1.999e-05,1.74e-05,4.1e-06,5.29e-06,9.3e-07,1.4e-06,1.5e-07,2.1e-07,2e-08,3e-08,1e-08,3e-08
EXP06_Levallois convergent,Levallois,0.55204926,0.1226533,0.22745235,0.08549855,0.00979095,0.00193463,0.00054559,4.746e-05,1.119e-05,7.9e-06,4.34e-06,2.48e-06,1.2e-06,5.2e-07,2e-07,5e-08,1e-08,0.0,1e-08,1e-08
EXP07_Levallois preferential,Levallois,0.43191397,0.38173215,0.14021626,0.03232275,0.00983554,0.00316254,0.00066221,0.00011125,2.741e-05,6.23e-06,5.55e-06,2.07e-06,1.24e-06,5e-07,1.7e-07,6e-08,4e-08,1e-08,3e-08,1e-08
EXP08_Levallois preferential,Levallois,0.50837098,0.27103612,0.19409184,0.01910184,0.00540344,0.0013946,0.00053989,4.034e-05,1.044e-05,4.35e-06,3.13e-06,1.44e-06,9.1e-07,4.2e-07,1.6e-07,7e-08,1e-08,1e-08,1e-08,0.0
EXP09_Levallois preferential,Levallois,0.40064644,0.29837622,0.18097383,0.09832145,0.0178351,0.00315657,0.00049925,0.00011291,5.31e-05,7.96e-06,1.095e-05,2.68e-06,2.36e-06,7.4e-07,2.1e-07,1.3e-07,2e-08,1e-08,6e-08,1e-08
EXP10_Cylindrical unidirectional,Unidirectional,0.43850452,0.30260173,0.17575596,0.06548551,0.01459197,0.00257257,0.0004309,5.088e-05,5.01e-06,6.6e-07,1.6e-07,8e-08,3e-08,2e-08,0.0,0.0,0.0,0.0,0.0,0.0
EXP11_Cylindrical bidirectional,Bidirectional,0.04920763,0.53459015,0.26995826,0.11943666,0.02167305,0.00465484,0.00037721,9.232e-05,7.25e-06,1.7e-06,2.8e-07,4e-07,7e-08,1.2e-07,1e-08,2e-08,0.0,0.0,0.0,0.0
EXP12_Discoid,Discoid,0.11783446,0.36679319,0.23032442,0.22456517,0.05185697,0.00677921,0.00132049,0.00043819,1.672e-05,4.507e-05,5.33e-06,1.523e-05,9.7e-07,3.77e-06,1.3e-07,5e-07,3e-08,4e-08,2e-08,7e-08
EXP13_Conical unidirectional,Unidirectional,0.34489248,0.35799637,0.15070711,0.11054482,0.03049541,0.00459069,0.00062808,0.00011632,2.073e-05,4.03e-06,1.65e-06,1.16e-06,5.6e-07,3.5e-07,1.4e-07,6e-08,2e-08,1e-08,0.0,0.0
EXP14_Levallois convergent,Levallois,0.68367357,0.11733319,0.11762785,0.05725848,0.02035144,0.00305836,0.00053155,9.488e-05,3.85e-05,1.616e-05,7.19e-06,4.7e-06,2.06e-06,1.29e-06,4.3e-07,2e-07,7e-08,2e-08,3e-08,2e-08
EXP15_Levallois convergent,Levallois,0.58980386,0.13675618,0.19086297,0.07022503,0.00998819,0.0019073,0.00033623,6.173e-05,2.515e-05,1.69e-05,8.61e-06,4.55e-06,2.05e-06,8.2e-07,2.8e-07,6e-08,2e-08,2e-08,2e-08,3e-08
EXP16_Discoid,Discoid,0.10554454,0.44088512,0.1800671,0.25166533,0.01408392,0.00648349,0.00100216,0.00020593,3.328e-05,1.523e-05,4.17e-06,6.16e-06,1.02e-06,1.98e-06,1.6e-07,3.5e-07,1e-08,3e-08,1e-08,2e-08
EXP17_Discoid,Discoid,0.1619182,0.03631923,0.61551975,0.14785216,0.02722474,0.01015887,0.00069447,0.00013883,8.277e-05,2.774e-05,3.467e-05,1.263e-05,9.02e-06,4.27e-06,1.31e-06,9.9e-07,8e-08,1.4e-07,9e-08,3e-08
EXP18_Discoid,Discoid,0.54734965,0.17930167,0.19687002,0.05741513,0.01684195,0.00166492,0.00030768,0.00015221,5.175e-05,2.196e-05,9.59e-06,7.16e-06,3.13e-06,1.97e-06,7e-07,3.3e-07,9e-08,4e-08,2e-08,3e-08
EXP19_Levallois preferential,Levallois,0.31574217,0.27776321,0.32461386,0.04816929,0.02964326,0.00345497,0.00040393,0.00010842,4.552e-05,2.577e-05,1.655e-05,7.49e-06,3.61e-06,1.33e-06,3.7e-07,7e-08,2e-08,3e-08,6e-08,5e-08
EXP20_Cylindrical bidirectional,Bidirectional,0.28110656,0.20695068,0.30650152,0.15359858,0.04545128,0.00516033,0.00096545,0.00017233,5.137e-05,2.301e-05,8.51e-06,5.81e-06,2.61e-06,1.26e-06,5e-07,1.3e-07,4e-08,1e-08,1e-08,2e-08
EXP21_Levallois preferential,Levallois,0.50997402,0.30697506,0.04882657,0.10655144,0.0220453,0.00454169,0.000812,0.00016081,5.538e-05,2.886e-05,1.324e-05,9.38e-06,3.11e-06,2.22e-06,4.1e-07,3e-07,5e-08,6e-08,5e-08,6e-08
EXP22_Cylindrical unidirectional,Unidirectional,0.44577511,0.24296789,0.20980832,0.08468247,0.01433822,0.00195539,0.00040787,4.769e-05,1.047e-05,3.07e-06,2.08e-06,7.5e-07,3.9e-07,1.9e-07,3e-08,3e-08,1e-08,0.0,2e-08,0.0
EXP23_Cylindrical unidirectional,Unidirectional,0.4141179,0.29595481,0.19432974,0.07604802,0.01633044,0.00271969,0.00044742,4.645e-05,4.1e-06,9e-07,2.5e-07,1.3e-07,8e-08,4e-08,2e-08,1e-08,0.0,0.0,0.0,0.0
EXP24_Cylindrical unidirectional,Unidirectional,0.47747667,0.33755888,0.1365772,0.03775063,0.00851269,0.00175659,0.00031808,4.465e-05,4.26e-06,2.9e-07,3e-08,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXP25_Levallois Nubian,Levallois,0.6556935,0.12598585,0.11284897,0.07298304,0.02956293,0.00195882,0.00073643,0.00014667,5.397e-05,8.32e-06,1.359e-05,3.95e-06,1.94e-06,1.36e-06,6e-08,2.6e-07,1.7e-07,1e-08,1.7e-07,1e-08
EXP26_Levallois recurrent,Levallois,0.6495511,0.22796242,0.06198049,0.03469768,0.02257152,0.0025635,0.00054261,9.647e-05,2.057e-05,6.1e-06,3.05e-06,2.84e-06,5.3e-07,8.2e-07,8e-08,1.3e-07,5e-08,1e-08,3e-08,1e-08
EXP27_Levallois convergent,Levallois,0.63646575,0.12508366,0.09793026,0.10439031,0.03138198,0.00290278,0.00142014,0.0002216,0.00012507,2.825e-05,3.065e-05,9.41e-06,6.27e-06,2.49e-06,5.8e-07,3.9e-07,1.3e-07,4e-08,1.9e-07,3e-08
EXP28_Levallois convergent,Levallois,0.71782189,0.19536292,0.02300617,0.04568059,0.01504943,0.00272874,0.00023819,8.675e-05,1.708e-05,2.88e-06,2.55e-06,1.65e-06,3.1e-07,5.6e-07,5e-08,1e-07,7e-08,0.0,4e-08,0.0
